poi_id,lat,lon,cell_site_dist,4G_coverage,is_connected,is_visible,num_visible,fiber_length_1km,mst_solution_1km,fiber_length_2km,mst_solution_2km,fiber_length_3km,mst_solution_3km,fiber_length_4km,mst_solution_4km,fiber_length_5km,mst_solution_5km,fiber_length_6km,mst_solution_6km,fiber_length_7km,mst_solution_7km,fiber_length_8km,mst_solution_8km,fiber_length_9km,mst_solution_9km,fiber_length_10km,mst_solution_10km,fiber_length_11km,mst_solution_11km,fiber_length_12km,mst_solution_12km,fiber_length_13km,mst_solution_13km,fiber_length_14km,mst_solution_14km,fiber_length_15km,mst_solution_15km,technology_1km,technology_2km,technology_3km,technology_4km,technology_5km,technology_6km,technology_7km,technology_8km,technology_9km,technology_10km,technology_11km,technology_12km,technology_13km,technology_14km,technology_15km
2b2ca058-e2b5-4ce2-a075-c3075f9027ef,39.07637005,1.413143902,689,0.0,0,False,0,,0.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,1.474225,1.0,Satellite,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
2e783986-86c8-40c6-905c-837d9112f4f7,38.97096944,1.359549418,814,0.0,0,True,3,,0.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,0.7403609999999999,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
2f4c020c-6569-4220-9152-d47361213edb,39.02439169,1.490407817,744,0.0,0,True,3,,0.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,1.055768,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
304e1e26-439a-45fb-8837-9a38fdc6ec41,38.92045977,1.443926473,1802,0.0,0,True,3,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,0.862034,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
316677be-d43e-4119-ac88-7b54e561fb17,39.0051067,1.454736686,569,0.0,0,True,3,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,0.743332,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
34cb2c0a-8709-4603-afe6-76f630165788,38.89706249,1.288587958,3321,0.0,0,True,2,,0.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,0.417293,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
35e45aa4-2e7b-47e3-8157-7f6caa51b3f2,38.83495517,1.370773233,1813,0.0,0,True,3,,0.0,,0.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,2.3047579999999996,1.0,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
386b10fd-d902-4f9a-aa89-70120f982487,38.95031751,1.473349019,585,0.0,0,True,3,,0.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,1.748467,1.0,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
3c1b571e-ab30-4c81-832d-51bdfef51bba,38.97033793,1.2855323,591,0.0,0,True,3,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,0.88823,1.0,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
40a28229-3dbf-4f08-a516-3f46680a2e55,38.86416215,1.308331692,875,0.0,0,True,2,,0.0,,0.0,,0.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,3.574202,1.0,Additional P2P microwave,Additional P2P microwave,Additional P2P microwave,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber,Fiber
