technology_selection_approach,basket_name,technology,number_poi,fiber_length,pp_coo,pp_coo_per_poi,pp_capex,init_capex,an_opex,init_capex_per_poi,an_opex_per_poi,estimate,max_dist_km
ranking,technology_14km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,14
ranking,technology_14km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,14
ranking,technology_14km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,14
ranking,technology_14km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,14
ranking,technology_15km,fiber,100,131.087385,2338902.9694800004,23389.029694800003,1218212.0892000003,1083212.0892000003,112069.08802800004,10832.120892000003,1120.6908802800003,lower bound,15
ranking,technology_15km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,15
ranking,technology_15km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,15
ranking,technology_15km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lower bound,15
ranking,technology_1km,fiber,19,11.779834,334137.465552,17586.182397473684,155828.79312,124478.79312,17830.867243200002,6551.515427368421,938.4666970105264,upper bound,1
ranking,technology_1km,p2mp,6,,2692.8,448.8,2112.0,528.0,58.080000000000005,88.0,9.680000000000001,upper bound,1
ranking,technology_1km,p2p,65,,1658325.2371400003,25512.695956000007,678876.055,488458.685,97944.91821400002,7514.749,1506.8448956000002,upper bound,1
ranking,technology_1km,satellite,10,,113520.00000000003,11352.000000000004,99000.00000000003,33000.00000000001,1452.0000000000005,3300.000000000001,145.20000000000005,upper bound,1
ranking,technology_2km,fiber,71,74.26306399999999,1863412.5649919999,26245.247394253518,875066.4595199999,757916.4595199999,98834.6105472,10674.879711549294,1392.0367682704225,upper bound,2
ranking,technology_2km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,2
ranking,technology_2km,p2p,23,,586792.006988,25512.695956,240217.681,172839.227,34657.432598800006,7514.749000000001,1506.8448956000002,upper bound,2
ranking,technology_2km,satellite,6,,68112.00000000001,11352.000000000002,59400.000000000015,19800.000000000004,871.2000000000003,3300.0000000000005,145.20000000000005,upper bound,2
ranking,technology_3km,fiber,96,122.087602,2960164.7734560007,30835.049723500008,1393007.9873600001,1234607.9873600001,156715.67860960006,12860.499868333334,1632.4549855166672,upper bound,3
ranking,technology_3km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,3
ranking,technology_3km,p2p,3,,76538.087868,25512.695956,31332.741,22544.247,4520.534686800001,7514.749,1506.8448956000002,upper bound,3
ranking,technology_3km,satellite,1,,11352.000000000002,11352.000000000002,9900.000000000002,3300.0000000000005,145.20000000000005,3300.0000000000005,145.20000000000005,upper bound,3
ranking,technology_4km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,4
ranking,technology_4km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,4
ranking,technology_4km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,4
ranking,technology_4km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,4
ranking,technology_5km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,5
ranking,technology_5km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,5
ranking,technology_5km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,5
ranking,technology_5km,satellite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,5
ranking,technology_6km,fiber,100,131.087385,3163044.362280001,31630.44362280001,1488925.8868000002,1323925.8868000002,167411.84754800005,13239.258868000003,1674.1184754800006,upper bound,6
ranking,technology_6km,p2mp,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,6
ranking,technology_6km,p2p,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,upper bound,6
