poi_id,closest_node_id,closest_node_distance,connected_node_id,connected_node_distance,fiber_path,upstream_node_id,upstream_node_distance
a7a55e1e-6078-4457-89fd-ab69814da42e,4bff2522-5be9-48b5-a093-603936f6af1c,3211.696,4267fc81-0e9f-40ca-84c8-84529958dc22,7534.700999999999,"['4267fc81-0e9f-40ca-84c8-84529958dc22', 'a877cb39-2290-48c3-b6a6-0f4feaf0146a', '96f84def-7438-4e29-b45b-3368a83544ca', '4bb7174d-f3a5-485b-bd5d-423a370c713d', '23dd6a45-3656-435b-b3b1-c16efab9daeb', 'c30b6800-1281-4cee-8dd9-ba3e5c5802fd']",c30b6800-1281-4cee-8dd9-ba3e5c5802fd,1251.848
85495887-5439-4f49-82a9-8e0a031b9dc4,6551b0b5-d6b9-4172-8b26-7bdabb4479d2,2409.917,6551b0b5-d6b9-4172-8b26-7bdabb4479d2,2409.917,['6551b0b5-d6b9-4172-8b26-7bdabb4479d2'],6551b0b5-d6b9-4172-8b26-7bdabb4479d2,2409.917
e34166df-938f-4a6a-8297-8e62472c190a,f4723800-dc71-4c6e-a2c3-31a8ad7b31e0,3263.449,99fbad83-671b-47b4-9241-af3aa1e160ce,8613.600999999999,"['99fbad83-671b-47b4-9241-af3aa1e160ce', '8212c26b-ccf0-4c70-8c8b-0bd759f2cbff', '1f8a8a01-714b-40f2-b55d-fbcb916dd75f', 'ef55a242-71c2-4895-9d7f-7cc87011cc24', '1e1ce347-2c9a-42a9-8cad-29811f0a9f8e', '5529ea39-d40f-4c80-a308-07fe2fb85cfa']",5529ea39-d40f-4c80-a308-07fe2fb85cfa,2354.511
0b373675-de87-476b-9262-a0f7d9fe97c7,541c5949-ab47-4a42-83df-2f5653718d5a,2690.802,541c5949-ab47-4a42-83df-2f5653718d5a,3076.4139999999998,"['541c5949-ab47-4a42-83df-2f5653718d5a', 'ba2f6994-38f1-4619-a7ee-4c6569749c21']",ba2f6994-38f1-4619-a7ee-4c6569749c21,1680.737
033ae344-5dde-4ee7-8abd-9c83729197bf,b6944aba-e776-4933-b1e1-73581c3699ac,965.494,b6944aba-e776-4933-b1e1-73581c3699ac,965.494,['b6944aba-e776-4933-b1e1-73581c3699ac'],b6944aba-e776-4933-b1e1-73581c3699ac,965.494
d3a1fe88-51a0-4558-a376-5c614106e50b,ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d,383.54,ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d,383.54,['ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d'],ff8e3dfc-15b8-44e4-b972-8fd7bf356f8d,383.54
77e031da-1d23-48c2-853e-25d1830dabd1,ffaa16a6-ea8c-4609-bf7f-d75b9814b005,1123.699,ffaa16a6-ea8c-4609-bf7f-d75b9814b005,1123.699,['ffaa16a6-ea8c-4609-bf7f-d75b9814b005'],ffaa16a6-ea8c-4609-bf7f-d75b9814b005,1123.699
9be3e912-c023-4888-847f-f74ab5085a94,f1258afa-9fe6-46f8-89a4-75826b810986,4551.288,f1258afa-9fe6-46f8-89a4-75826b810986,8484.295,"['f1258afa-9fe6-46f8-89a4-75826b810986', '04da0ba1-3b87-4a8e-bb66-72ac9a19f1cd', 'ef6eb534-04e9-4265-bc5b-1543f3452634', 'b4129fb7-6eff-4f64-9302-d56ca0ffd434']",b4129fb7-6eff-4f64-9302-d56ca0ffd434,2368.438
4bb7174d-f3a5-485b-bd5d-423a370c713d,4267fc81-0e9f-40ca-84c8-84529958dc22,2274.262,4267fc81-0e9f-40ca-84c8-84529958dc22,3105.142,"['4267fc81-0e9f-40ca-84c8-84529958dc22', 'a877cb39-2290-48c3-b6a6-0f4feaf0146a', '96f84def-7438-4e29-b45b-3368a83544ca']",96f84def-7438-4e29-b45b-3368a83544ca,876.209
5b9fbca7-20b7-4b7a-8555-1be8137a8e12,278a16fe-081f-4d8d-bd4b-8fd8400ae23f,660.705,278a16fe-081f-4d8d-bd4b-8fd8400ae23f,660.705,['278a16fe-081f-4d8d-bd4b-8fd8400ae23f'],278a16fe-081f-4d8d-bd4b-8fd8400ae23f,660.705
